date,value
1996-06-01,1.7169568982962227
1996-07-01,1.6591107853537441
1996-08-01,1.5971776829643725
1996-09-01,1.6345967404209174
1996-10-01,1.686624347095524
1996-11-01,1.6993326019481003
1996-12-01,1.6940160325359117
1997-01-01,1.7029675086867504
1997-02-01,1.5879511731203821
1997-03-01,1.6489820141535687
1997-04-01,1.7210544071981637
1997-05-01,1.7530839930092472
1997-06-01,1.715415174655803
1997-07-01,1.6747340819098802
1997-08-01,1.6385293143520874
1997-09-01,1.6673413766087057
1997-10-01,1.7047098851009856
1997-11-01,1.7012012828894119
1997-12-01,1.6977287248620219
1998-01-01,1.7011921561984695
1998-02-01,1.6338038216890316
1998-03-01,1.6767782704270893
1998-04-01,1.74114233154204
1998-05-01,1.748698205227209
1998-06-01,1.7142450637397924
