Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
 9 CT       15   57892   58920   60676   61602   61065   59626   60878   59309   58386   58601   58080
 9 CT       16   55493   57384   58062   60176   60965   60827   59387   60762   59405   58565   59199
 9 CT       17   54245   55833   56968   57859   59737   60823   60527   59059   60557   59166   58411
 9 CT       18   50637   52622   53545   54426   54882   56675   57175   56516   54960   56018   55852
 9 CT       19   45955   50220   52049   53117   54119   54969   56609   57211   56857   55390   56841
 9 CT       20   46347   47854   50844   52288   53465   54558   54952   56469   57100   56638   55230
 9 CT       21   44966   45831   47794   47464   51458   52683   53469   53847   55430   56032   55542
 9 CT       22   48090   45999   46188   43376   49027   50563   51371   52095   52530   53997   54733
 9 CT       23   50096   47107   46316   42538   46917   49094   50452   51367   52355   52902   53557
 9 CT       24   40461   54750   48883   47610   46999   47886   49753   50959   51862   52685   53320
 9 CT    25-29  206160  211678  226011  227136  230411  235697  242485  237841  240995  245986  249260
 9 CT    30-34  168876  173935  181280  194796  203315  210839  214417  229293  231181  235173  241873
 9 CT    35-44  356187  347189  340926  336685  332394  329336  329757  335397  349409  360265  369302
 9 CT    45-54  381950  382289  379653  377742  372916  368985  363672  356229  349716  342192  338901
 9 CT    55-59  157129  161166  163368  166455  168737  172103  174357  177079  178095  178507  178712
 9 CT    60-61   54989   56168   56266   57650   58829   60405   61100   61467   62683   64090   65989
 9 CT   62-64M   33067   34741   36065   36913   37790   38243   39361   40360   41107   41567   42016
 9 CT   62-64F   38116   39895   41416   42351   42961   43589   44666   45940   46854   47666   48665
 9 CT      65+  287520  294231  300132  307157  314002  323313  332198  340804  349273  358947  364864
10 DE      0-2   28256   29349   28882   27352   25199   24374   24031   24277   24541   25243   25500
10 DE      3-4   20229   19526   18992   19240   19747   19010   17217   16089   15906   15826   15651
10 DE     5-13  105494  105023  102609   99969   97157   94723   92608   89540   85989   82566   80421
10 DE       14   11465   12292   12278   12360   12114   12416   12177   11919   11715   11055   10525
10 DE       15   11068   11673   12237   12254   12307   12100   12364   12099   11845   11588   11162
10 DE       16   10474   11239   11586   12194   12200   12310   12082   12334   12088   11792   11661
10 DE       17   10188   10838   11288   11634   12213   12243   12303   12011   12261   11942   11675
10 DE       18   10202   11115   11630   12067   12441   13083   13077   13021   12777   12971   12344
10 DE       19    9416   10664   11673   12061   12504   12908   13518   13337   13410   13034   12906
10 DE       20    8860    9929   10969   11664   12051   12438   12722   13093   13013   12889   12452
10 DE       21    8781    8607    9724   10379   11097   11465   11807   11934   12431   12230   12274
10 DE       22    9398    8983    8904    9600   10247   10954   11258   11461   11696   12050   11758
10 DE       23    9532    9170    9059    8646    9284    9875   10443   10568   10797   10849   10923
10 DE       24    7229   10485    9603    9245    8805    9468   10009   10466   10656   10766   10716
10 DE    25-29   38208   38970   42069   42743   43746   44752   46618   45780   46719   47835   49622
10 DE    30-34   32255   33795   35345   37449   38750   39805   40063   42860   43766   44679   45414
10 DE    35-44   65558   65599   65327   64971   64633   64426   64624   65121   66859   67623   68268
10 DE    45-54   63447   65675   66272   66765   66826   66787   66532   65797   65168   63997   63210
10 DE    55-59   24405   25458   26227   27113   28072   29359   30399   31267   31798   32039   31847
10 DE    60-61    8637    9105    9125    9298    9547    9823   10062   10339   10758   11118   11556
10 DE   62-64M    5327    5600    5896    6105    6269    6400    6532    6717    6865    7053    7216
10 DE   62-64F    6026    6550    6880    7046    7137    7232    7381    7611    7773    7926    8058
10 DE      65+   43649   45061   46339   47607   49073   50639   52341   54188   55946   57911   59179
11 DC      0-2   35354   36184   35345   32434   27583   24204   21879   20498   19270   18290   21213
11 DC      3-4   24438   22009   20333   20271   21697   20691   17330   14760   13212   12056   13152
11 DC     5-13  116075  110915  105276   99425   93255   88533   85116   80433   75462   70340   69682
11 DC       14   12691   12612   12542   12391   12210   11832   11240   10948   10621    9844    9069
11 DC       15   12270   12367   12406   12388   12251   12108   11689   11099   10885   10538    9593
11 DC       16   11846   12088   12137   12230   12228   12132   11949   11535   11031   10798   10274
11 DC       17   11639   11944   12135   12205   12281   12293   12160   11945   11580   11035   10508
11 DC       18   14183   13703   14191   14521   14630   14863   15004   14871   14863   14531   12648
11 DC       19   15729   14934   15120   15470   15558   15763   16013   15965   15953   15844   14601
11 DC       20   16448   16061   15350   15007   14938   14956   14943   14769   14645   14335   13938
11 DC       21   16446   15173   15401   14554   14151   14330   14456   14339   14360   14223   13997
11 DC       22   16904   15632   14715   14579   13685   13545   13739   13727   13731   13688   13766
11 DC       23   16075   15788   15310   14292   14214   13650   13690   13882   14105   14152   14105
11 DC       24   13839   17043   15759   15004   13855   13871   13272   13212   13440   13513   13757
11 DC    25-29   64961   65691   69080   69065   68925   68222   68360   64987   64020   63236   66343
11 DC    30-34   47670   50433   52931   56235   57806   59011   58414   60282   59692   58879   56209
11 DC    35-44   85051   83117   81798   80674   79561   78694   78289   78023   78755   78437   74265
11 DC    45-54   83753   82648   81423   79941   78272   76396   74214   71359   69038   66621   63341
11 DC    55-59   38029   37044   36410   35930   35747   36238   36305   36432   36667   36043   34093
11 DC    60-61   13981   14489   13783   13406   13315   13296   12857   12094   11990   12161   12537
11 DC   62-64M    8104    8304    8665    8819    8768    8463    8211    8259    7981    7615    7054
11 DC   62-64F   10856   11033   11364   11462   11417   11247   10902   10883   10590   10326    9901
11 DC      65+   70326   70565   70765   71187   71601   72533   72263   72927   73160   73510   74287
12 FL      0-2  296072  322558  336051  340962  335111  332014  326497  328378  333307  351152  348556
12 FL      3-4  205561  203395  208939  224908  241099  241607  232321  229148  232845  233367  221668
12 FL     5-13 1122453 1139014 1150834 1171217 1185985 1178022 1161867 1147010 1137285 1142234 1162110
12 FL       14  127632  136456  141107  147314  152987  156351  153936  152260  151698  148125  144440
12 FL       15  124305  132042  141011  147400  152970  155559  157123  155263  154579  155599  157415
12 FL       16  119605  128584  135647  146515  152332  154895  155750  157965  157210  158198  162169
12 FL       17  115635  125845  133592  142008  152440  154788  155321  156439  159372  159962  163278
12 FL       18  111768  117117  126275  134778  143057  149364  149704  150010  151502  155472  160614
12 FL       19  106071  115390  122589  133160  143078  148472  154331  155729  157492  161642  167864
12 FL       20  105837  113404  122048  128655  140451  145764  149346  155056  156327  159587  165674
12 FL       21  100885  107312  118249  125779  133718  141185  145479  149378  155289  158654  161056
12 FL       22  104374  104708  112234  121155  129182  133581  139851  144584  148815  156829  162932
12 FL       23  103881  104174  108809  115760  125414  130814  134310  141343  146896  153363  161785
12 FL       24   81970  116386  111477  115483  122335  129218  133256  136888  144180  151206  159980
12 FL    25-29  403478  428621  483400  520129  561566  593564  630166  636990  661221  699376  739848
12 FL    30-34  359002  378753  402040  440272  474362  496787  509589  559260  586751  624500  671563
12 FL    35-44  747603  766455  790885  822632  853360  865060  876266  895745  935051  983102 1038778
12 FL    45-54  762765  804523  842478  888242  925460  939609  940665  939990  946517  959649  989160
12 FL    55-59  347687  365550  383977  406576  432155  454659  471160  492464  513453  535405  555209
12 FL    60-61  143638  149804  153118  164072  173453  178370  180646  183187  190912  204833  223364
12 FL   62-64M   94134   99031  105887  112201  118758  122768  127837  133909  138644  145457  152485
12 FL   62-64F  121538  132144  143976  153359  160710  163408  167081  172211  176176  182312  188803
12 FL      65+  985524 1067041 1136840 1211119 1288777 1352564 1414880 1482976 1566510 1646135 1687573
13 GA      0-2  250544  264111  267325  263628  252318  245196  238240  238333  240356  248880  254122
13 GA      3-4  171358  166741  168400  175183  183809  182633  173157  167573  164828  161536  160813
13 GA     5-13  856300  857584  856342  852121  848586  842108  840184  836043  827069  823163  819027
13 GA       14   95738   99162   99642  101244  102350  103118  102698  103105  103753  101366   97402
13 GA       15   93486   96525  100241  100816  102384  102973  103695  103821  104157  105523  103911
