Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
31 NE    35-44  159456  157948  157765  157361  156911  155447  155542  157015  160699  163284  163774
31 NE    45-54  157162  158183  159028  159884  160136  159163  158706  156924  155192  152947  150653
31 NE    55-59   71837   71597   71251   71145   71566   72238   72809   72040   75157   75609   75104
31 NE    60-61   28310   28062   27445   27598   27510   27086   27018   26844   26874   27358   27979
31 NE   62-64M   18091   18614   19215   19295   19222   18833   18809   18653   18586   18435   18382
31 NE   62-64F   20516   21127   21635   21870   21863   21594   21572   21594   21433   21275   21167
31 NE      65+  182706  185347  187467  189259  191700  194299  197129  200078  202107  204183  205684
32 NV      0-2   25644   27113   27527   27243   26633   26436   27087   28624   30655   33703   34825
32 NV      3-4   18213   17906   18048   18796   19818   19807   19156   18867   19728   20930   21307
32 NV     5-13   90796   94170   95961   97228   99625   99528  100356  100846  102106  103513  104584
32 NV       14    9467   10437   10866   11131   11636   12273   12465   12530   12954   13035   12849
32 NV       15    9137    9832   10678   11114   11513   11795   12541   12759   13034   13512   13648
32 NV       16    8783    9467   10049   10943   11552   11760   12180   13009   13489   13855   14251
32 NV       17    8184    9314    9881   10427   11464   11838   12146   12602   13623   14140   14335
32 NV       18    7282    8116    9006    9372    9934   10634   11006   11246   11712   12627   13427
32 NV       19    6815    8037    8920    9636   10208   10801   11770   12367   12858   13589   14501
32 NV       20    7417    8068    9275    9865   10854   11368   12085   13228   13942   14567   14761
32 NV       21    7829    7454    8418    9219   10090   11033   11666   12480   13718   14561   14866
32 NV       22    8398    7977    7897    8435    9548   10473   11605   12412   13389   14900   15756
32 NV       23    8559    8385    8399    7997    8843   10039   11173   12545   13567   14799   16016
32 NV       24    6887    9705    9125    8817    8606    9470   10844   12168   13767   14968   16043
32 NV    25-29   37498   39722   44285   46172   48976   50964   54727   56652   61612   69139   75951
32 NV    30-34   34135   37707   40963   44485   48066   50379   52094   57461   61023   65077   69197
32 NV    35-44   62503   65771   69012   71884   73495   77889   81736   86456   93460  100170  105311
32 NV    45-54   58849   62075   64352   66492   69424   71078   73176   75129   78381   82190   85410
32 NV    55-59   23678   25338   26616   28038   29976   31517   33300   35320   37767   40207   42116
32 NV    60-61    7987    8724    9150    9681   10346   10865   11372   11732   12617   13805   14994
32 NV   62-64M    5221    5735    6277    6768    7256    7550    7945    8535    9199    9826   10422
32 NV   62-64F    4676    5305    5923    6420    7003    7412    7927    8434    8966    9585   10167
32 NV      65+   30780   33658   36161   38826   41957   45059   48618   52932   57869   62666   65756
33 NH      0-2   38169   38985   38736   37808   35902   34972   34650   35487   36675   38384   38336
33 NH      3-4   27211   26795   26569   26902   27394   26926   25436   24594   24620   24463   24176
33 NH     5-13  134803  136636  137627  138438  138163  136734  136461  136026  133976  131118  128767
33 NH       14   14197   15214   15430   15874   16111   16611   16620   16924   16994   16585   15993
33 NH       15   13824   14402   15315   15610   15959   16151   16752   16915   17138   17125   16934
33 NH       16   13194   13909   14389   15375   15572   15874   16157   16908   16984   17120   17085
33 NH       17   12939   13389   13892   14409   15265   15386   15722   16098   16763   16721   16791
33 NH       18   14007   13206   13720   14368   14968   15897   16194   16815   17306   18033   17915
33 NH       19   13334   13756   13485   14170   14950   15516   16647   17241   17975   18492   19051
33 NH       20   12839   13693   13966   13541   14271   14805   15361   16599   17039   17557   17966
33 NH       21   12304   12826   13716   13704   13316   13823   14450   15196   16345   16684   17178
33 NH       22   12309   13297   13484   14025   13880   13327   13862   14647   15324   16357   16594
33 NH       23   11990   12880   13795   13763   14153   13867   13226   13981   14686   15244   15961
33 NH       24    9104   13970   13896   14750   14553   14848   14628   14215   14838   15495   15925
33 NH    25-29   48465   51157   56872   60847   65945   70748   76552   77813   78687   78842   79468
33 NH    30-34   40845   43138   46058   50404   53680   55925   57868   64396   68632   73877   77928
33 NH    35-44   81474   82188   83234   84688   85833   86624   88931   93218   98880  103415  107028
33 NH    45-54   81362   82612   83849   85452   86145   86531   87051   88331   89375   89788   90121
33 NH    55-59   35347   36232   36736   37567   38402   39278   40333   42104   43305   44105   44749
33 NH    60-61   13535   13664   13474   13738   13976   14237   14675   14939   15162   15816   16438
33 NH   62-64M    8452    8778    9149    9337    9437    9319    9499    9897   10343   10601   10819
33 NH   62-64F    9893   10418   10785   10977   11096   11134   11428   11830   12150   12263   12420
33 NH      65+   78084   80706   82929   85204   86942   90024   92745   95588   98323  100990  102967
34 NJ      0-2  342210  343846  332810  311878  289219  279638  274354  275027  275839  280672  280299
34 NJ      3-4  247591  236833  232510  232806  232978  220191  200515  189720  187946  185560  182990
34 NJ     5-13 1266474 1259710 1242878 1215352 1187939 1160269 1133552 1096305 1055544 1015571  985754
34 NJ       14  138022  144646  145945  145293  142698  145212  141661  138762  137973  132707  128534
34 NJ       15  135676  138095  144283  145098  144576  142432  144881  141458  139186  138578  135636
34 NJ       16  129333  135000  136890  142517  143414  143309  141073  143569  140773  138646  139053
34 NJ       17  127924  131732  135455  136487  142025  143107  142787  140390  143424  140675  138595
34 NJ       18  114146  120823  122805  124304  124562  128730  128846  127355  124728  126789  128908
34 NJ       19  105326  114484  118277  119168  121460  121937  126841  126918  126274  124566  128473
34 NJ       20  103485  110809  115698  117561  119419  121354  122162  126324  126578  126466  124854
34 NJ       21   99207  104448  110468  113271  116115  117510  119857  119970  124177  124916  122729
34 NJ       22  107001  102507  105184  108663  112052  114765  116509  118375  118818  123551  123648
34 NJ       23  111210  105059  102932  104288  108476  111965  115146  116588  119008  120117  122134
34 NJ       24   88764  122406  109355  105589  107140  111224  114850  117386  118950  121548  121463
34 NJ    25-29  463624  475034  507460  507811  517626  531348  552802  545353  557309  573825  574135
34 NJ    30-34  403858  418256  436985  464535  480191  492756  498371  530277  534980  547603  563758
34 NJ    35-44  880233  865087  853291  838365  826635  814502  812843  820647  846519  864789  879823
34 NJ    45-54  917889  927867  931832  927963  919766  909373  894976  876123  858864  839488  826558
34 NJ    55-59  381013  388074  393312  397330  402050  410463  417427  424544  429409  431927  430048
34 NJ    60-61  136500  139732  138925  140037  142073  144909  145477  144356  146587  150299  155560
34 NJ   62-64M   83014   87007   91069   92316   93063   92953   94116   96071   96916   97102   97462
34 NJ   62-64F   94818  100068  104598  105970  106903  107487  108807  111101  112407  113818  114638
34 NJ      65+  693794  709588  722082  736483  752031  772333  791895  810554  828595  847301  859771
35 NM      0-2   57532   61376   62639   62296   61042   61329   62481   64710   66857   69697   71173
35 NM      3-4   39246   38198   38594   40369   42804   43080   41795   41490   42347   43109   43558
35 NM     5-13  218538  216678  213184  209543  206670  203856  202511  199352  196021  196961  200106
35 NM       14   23888   25334   25574   26027   27075   27739   27409   27081   26191   25256   23610
35 NM       15   23398   24215   25458   25755   26327   27325   27969   27463   27017   26791   25722
35 NM       16   22564   23554   24126   25406   25804   26305   27262   27713   27084   27301   26562
35 NM       17   21669   23136   23773   24394   25707   26023   26484   27248   27529   27536   27176
35 NM       18   19887   21497   22463   23129   23493   24643   24811   24938   25385   26172   25858
35 NM       19   17802   20178   21518   22768   23153   23860   25136   25286   25396   26674   26988
35 NM       20   17698   18685   20245   21668   22444   23081   23676   24736   24606   25329   26024
35 NM       21   17327   17394   18467   20110   21138   22350   23083   23644   24570   25240   25009
35 NM       22   17609   17746   17629   18541   19756   21205   22417   23080   23459   25140   25263
35 NM       23   17037   17485   17838   17735   18379   19994   21461   22637   23170   24283   24989
35 NM       24   13126   18932   18085   18383   17955   18832   20405   21725   22663   23783   24143
35 NM    25-29   65248   68174   75233   80182   85173   90607   97507   99653  103721  111465  115344
35 NM    30-34   59660   62098   64284   67962   70655   73688   76399   84472   89435   97201  101303
35 NM    35-44  116234  119365  121062  123818  125937  127900  130752  133262  136866  143337  144938
35 NM    45-54  101918  105244  107473  109826  112669  115136  117073  117974  118303  121618  122043
35 NM    55-59   41785   42922   43553   44631   46308   48453   50643   53096   54978   57766   58424
35 NM    60-61   14955   15707   15942   16288   16539   17071   17473   17522   17908   19131   20192
35 NM   62-64M    9478   10053   10650   11085   11646   11978   12433   12782   12962   13445   13666
35 NM   62-64F   10171   10829   11710   12279   12917   13147   13455   13787   14095   14747   14897
35 NM      65+   70285   74937   79196   83334   87717   92342   96659  102069  107472  112740  115906
36 NY      0-2  872139  877135  842324  778487  710788  684586  671964  673372  667229  664723  690587
36 NY      3-4  615730  585668  570020  570353  573772  536642  478160  446508  439134  434224  445338
36 NY     5-13 3057082 3022817 2960096 2870441 2788919 2724959 2667779 2568016 2455799 2350975 2291171
36 NY       14  336389  346408  346763  343838  337667  341852  333665  327554  322826  311016  299768
36 NY       15  330496  334760  344304  343290  341631  337709  342205  332943  327393  323795  315775
36 NY       16  317536  328364  330777  338800  338979  339512  335822  339114  330445  325966  323055
36 NY       17  316580  320026  325930  326429  334853  336917  336998  331429  335219  327247  322169
36 NY       18  308187  310775  312321  314882  315598  324897  325679  323163  317337  320770  314983
36 NY       19  291764  303439  307751  308460  313730  316191  326082  325745  324193  320009  322589
36 NY       20  286338  298654  305029  305100  307954  313187  314498  321366  319935  318754  314719
36 NY       21  273797  282474  295252  294966  296492  299347  304347  303769  310050  309868  307969
36 NY       22  285959  281265  284101  289355  288822  290892  292945  295982  295481  302590  303991
36 NY       23  293232  282286  282127  280504  285404  285762  287503  287664  291093  291978  295783
36 NY       24  244794  323260  293491  289245  286495  291810  291640  290996  290883  295063  297484
36 NY    25-29 1227366 1253763 1332930 1337344 1366856 1400801 1449060 1416207 1414339 1419942 1428376
36 NY    30-34 1039180 1070170 1105186 1159171 1187932 1213613 1221916 1291079 1297047 1324352 1351839
36 NY    35-44 2154189 2112049 2076043 2030717 1995294 1967276 1963298 1968650 2007121 2031819 2043219
36 NY    45-54 2196099 2201845 2193717 2170806 2144299 2120559 2089234 2040616 1992269 1944973 1908113
36 NY    55-59  980367  973591  964497  953191  949961  961897  975260  984760  987883  987772  979370
36 NY    60-61  371109  370646  359075  353628  350664  352546  348681  338029  336659  342213  354865
36 NY   62-64M  225740  232110  238456  236354  233270  228786  228069  227825  224487  222126  219617
36 NY   62-64F  265984  275401  284002  282902  280155  275910  274561  276031  272809  270913  266525
36 NY      65+ 1951334 1971081 1985212 1998803 2020245 2057837 2081181 2101788 2120962 2142754 2160767
37 NC      0-2  262968  274356  274978  268308  254675  247392  241141  241138  240931  244515  245771
37 NC      3-4  174527  173846  176139  180821  187112  184304  173486  166428  162989  159415  158305
37 NC     5-13  911467  903781  895249  885882  877373  869922  865162  856727  844157  833788  831633
37 NC       14  105199  107957  107256  107751  108757  109139  109192  108530  107789  102919   98283
37 NC       15  103536  105838  108774  108060  108614  109538  109803  110182  109521  108803  105675
37 NC       16  101753  104053  105717  108528  107765  108125  108807  109278  109559  108816  108615
37 NC       17  101482  104360  105890  107433  110452  109323  109404  110210  110301  110307  109453
37 NC       18  107468  106577  109261  111415  113631  116572  115278  115409  116489  116498  116680
37 NC       19  105820  110028  111830  115474  118106  121165  124391  123837  125182  126194  125899
37 NC       20  106209  109721  111670  113054  116085  117872  119539  122574  121981  121869  125275
37 NC       21   99067  100559  105916  108411  109894  112735  114262  116497  120040  118860  120396
37 NC       22   96409   98854  100180  104351  106148  107112  109004  110626  112511  114904  115065
37 NC       23   90864   92857   97669   98714  102429  104045  104203  106452  107897  108775  110559
37 NC       24   71886   98402   95121   99505   99950  103453  104126  104318  106204  106512  108217
37 NC    25-29  347015  356948  388086  405689  429863  453937  482328  485651  493214  495990  502579
37 NC    30-34  297449  304991  316943  336518  351211  364121  371166  402998  421108  444432  461169
37 NC    35-44  589635  591836  594725  597719  601079  605293  614432  628911  651367  669237  682634
37 NC    45-54  562612  576444  587308  598214  603802  604936  603759  602366  602399  601263  601335
37 NC    55-59  237281  241537  244373  246384  253537  263491  271042  281526  290460  295245  295910
37 NC    60-61   87098   90121   89667   91709   92585   93530   94343   94039   94945  100076  108276
37 NC   62-64M   50336   52985   57179   59571   61279   61944   63002   64777   65329   66075   66107
37 NC   62-64F   62292   66018   70718   73126   75115   75887   76918   78686   79339   80522   80749
37 NC      65+  412038  431464  446501  463218  481450  503354  523178  544451  565780  588478  603181
38 ND      0-2   30300   30966   30506   29343   28220   28535   29281   30490   31121   31777   34163
38 ND      3-4   21046   20025   19692   20161   20460   19875   18986   18445   18749   19370   20589
38 ND     5-13  120426  117061  113158  108439  104444  101030   98366   94942   91495   88890   89427
38 ND       14   14195   14256   14352   14334   14102   14159   13719   13206   12526   11690   10632
38 ND       15   13809   14064   14173   14209   14216   13994   14066   13534   12949   12290   11562
38 ND       16   13305   13779   13909   13975   14053   14086   13895   13886   13299   12746   12011
38 ND       17   13375   13548   13871   13958   14075   14149   14215   13930   13808   13219   12607
38 ND       18   12834   12616   12822   13190   13359   13499   13669   13652   13345   13273   13170
38 ND       19   11489   12723   12610   12953   13418   13820   14231   14483   14609   14429   14627
38 ND       20   11339   12181   12922   12744   13055   13582   14090   14445   14683   14810   14705
38 ND       21   10647   11303   12095   12705   12471   12798   13418   13822   14105   14309   14218
38 ND       22   10188   10911   11325   11843   12359   12155   12580   13150   13471   13763   13975
38 ND       23    9220   10166   10834   11107   11576   12154   11993   12413   12905   13224   13272
38 ND       24    7384   10337   10434   10962   11186   11715   12309   12062   12375   12833   13223
38 ND    25-29   34608   36567   40565   43282   46586   50154   54769   56676   58101   59155   58470
38 ND    30-34   30856   31156   31669   33066   34172   35574   36594   40021   42137   44742   45687
38 ND    35-44   64218   64354   64253   63641   63054   62501   62924   63023   63784   64388   63646
38 ND    45-54   63987   63628   63215   62803   62589   62524   62337   61826   61091   60395   59128
38 ND    55-59   30947   30975   30723   30471   30319   30339   30216   30176   29934   29741   29218
38 ND    60-61   11736   11912   11899   11770   11572   11504   11629   11614   11372   11214   11086
38 ND   62-64M    7926    8223    8446    8480    8517    8486    8569    8518    8451    8331    8209
38 ND   62-64F    7792    8106    8471    8634    8837    8780    8721    8597    8665    8694    8647
38 ND      65+   66165   67904   69174   70605   71917   73474   75220   76858   78327   79610   80445
39 OH      0-2  546843  556327  543194  516930  479761  463731  455603  456399  455120  462395  482262
39 OH      3-4  374993  362710  358373  362659  370820  358436  326121  307166  304014  301114  304888
39 OH     5-13 1967804 1912225 1855072 1805063 1758569 1714011 1681407 1643784 1598167 1552366 1525525
39 OH       14  221035  229257  228115  223291  217148  218948  211341  204862  201779  192082  182580
39 OH       15  218953  219023  226868  226908  222053  216388  218073  211691  205786  202248  195654
39 OH       16  208025  215304  215298  224058  223937  219499  213668  216429  210599  204154  201383
39 OH       17  204275  208194  212200  212978  221161  221560  216618  211620  215158  208695  202028
39 OH       18  199993  204214  206169  209697  209683  217693  216636  211879  206789  208824  201130
39 OH       19  182453  195053  200946  204570  209357  209527  217167  217297  213134  207892  207484
39 OH       20  175514  183721  192526  198221  203361  207502  206419  214237  213839  209082  204093
39 OH       21  168109  169008  177258  183463  189761  193993  197449  197363  204824  204468  202141
39 OH       22  178085  174305  171497  177102  182535  188703  191877  196207  196559  203970  204614
39 OH       23  178670  176836  175658  171849  176299  181435  186582  190065  194677  194897  198488
39 OH       24  134024  198937  184023  182136  176339  179980  184115  189348  192627  196551  195583
39 OH    25-29  692319  703750  759212  786166  824271  857296  893143  878994  885025  893834  907679
39 OH    30-34  600663  611193  626006  654841  668095  679021  681690  736841  762972  796395  815697
39 OH    35-44 1224044 1192894 1171057 1157082 1145181 1130888 1128770 1143567 1176793 1194867 1199823
39 OH    45-54 1246195 1251688 1251117 1252032 1243808 1233146 1214228 1192366 1173250 1146249 1126607
39 OH    55-59  512718  521370  525187  530275  534910  543724  551151  565594  575616  582325  581948
39 OH    60-61  183791  184962  183210  186820  191460  193824  194025  194176  196297  200808  205715
39 OH   62-64M  114361  117456  120534  121556  122297  123234  125805  128696  130369  130187  130585
39 OH   62-64F  131112  135212  139027  140447  141631  142349  145335  148817  151261  151681  152263
39 OH      65+  993444 1011184 1024451 1039172 1053323 1075539 1095440 1113998 1130929 1153217 1169460
40 OK      0-2  118798  126875  129389  127777  123675  124109  126448  131441  135058  140785  142734
40 OK      3-4   78503   78292   80719   84685   89137   89750   86108   84429   86925   89827   90573
40 OK     5-13  440658  435024  428998  422140  417337  413811  413138  409906  407090  407635  413451
40 OK       14   50887   52666   52505   52580   53076   54008   53896   53628   52116   49394   46797
40 OK       15   50663   51306   53099   52874   53087   53660   54700   54520   54414   53064   51607
40 OK       16   49488   50790   51298   52984   52856   53102   53724   54651   54597   54634   53862
40 OK       17   48233   50511   51224   51654   53479   53354   53767   54235   55238   55325   55860
40 OK       18   47636   49885   51386   52225   52885   54649   54997   55024   55638   56978   56990
40 OK       19   45714   48199   50389   52662   53939   54711   57613   57579   58124   59478   60668
40 OK       20   44915   46675   47687   50291   52747   53611   55030   56907   56905   57785   59643
40 OK       21   43091   43047   44530   45908   48598   50690   52451   53136   55183   55797   57117
40 OK       22   43519   44657   43638   45169   46383   48931   51692   52806   53649   56292   57090
40 OK       23   43018   43563   44798   44080   45377   46476   49475   51573   52766   53972   55806
40 OK       24   33007   47884   45169   46556   45366   46441   47812   50132   52169   53502   54586
40 OK    25-29  162926  169824  186816  197542  209843  220699  235099  234129  238640  244902  252745
40 OK    30-34  139661  144037  148804  157304  164543  170561  175623  192721  202901  214998  222829
40 OK    35-44  283197  283252  283716  285216  287997  290099  296767  303490  315036  327331  337220
40 OK    45-54  282477  288405  292470  294946  295905  296896  297391  295994  296055  296733  298730
40 OK    55-59  131725  130577  128618  127833  129378  132790  136723  141855  145471  148297  150228
40 OK    60-61   50572   51088   51124   51531   51062   50203   49176   48136   49140   52304   55505
40 OK   62-64M   33413   33631   34398   34316   34941   34988   35245   34989   34499   34123   34715
40 OK   62-64F   38673   39903   41092   41029   41674   41807   42057   41624   40928   40310   40408
40 OK      65+  298689  308510  316781  324630  331481  339336  347882  357107  364794  371845  376126
41 OR      0-2   97770  101925  101056   98031   95606   98020  102271  109569  116556  124835  121932
41 OR      3-4   66383   66292   68251   71760   73018   70398   67486   67983   71802   76020   76114
41 OR     5-13  363248  361131  359412  358055  357034  355134  353617  352151  351602  351799  351150
41 OR       14   42698   44181   43750   43621   44111   45886   44797   44053   42301   40931   40682
41 OR       15   42630   42989   44551   44249   44103   44655   46516   45795   45143   43289   42448
41 OR       16   43140   42656   43074   44777   44465   44379   44997   47270   46657   45929   44544
41 OR       17   42337   43083   42468   42842   44304   43999   43820   44667   47055   46256   46187
41 OR       18   39671   42564   42902   42001   42222   43673   43262   43356   44279   46410   45582
41 OR       19   35750   39149   41956   42490   41887   42102   43717   43770   44040   45009   47107
41 OR       20   34195   36112   39004   41720   42902   42302   42678   44716   44748   45006   46124
41 OR       21   32800   33406   35587   37747   40823   41961   41692   42597   44710   44882   45697
41 OR       22   34062   35306   35229   36784   38968   42197   43440   43627   44710   46988   47534
41 OR       23   34687   35441   36958   36576   38065   40368   43725   45306   45630   46798   48692
41 OR       24   27009   40097   38326   39718   38995   40457   42930   46741   48433   48690   49813
41 OR    25-29  139076  147585  164878  175890  189128  201350  216073  221066  232492  243652  253530
41 OR    30-34  115679  124287  132219  143847  153399  162221  168817  189111  202282  217097  227623
41 OR    35-44  225929  225903  228093  231417  235907  240118  247688  259345  276070  291285  303796
41 OR    45-54  243539  244578  245472  246207  245547  244640  243173  242466  242820  242458  243605
41 OR    55-59  110788  112542  113118  114116  115311  117013  119174  123115  125912  128006  129919
41 OR    60-61   40457   41544   41853   42912   43533   44227   44383   44372   45190   46722   48449
41 OR   62-64M   26009   27129   28448   29223   30116   30417   31110   31843   32490   32757   33027
41 OR   62-64F   27984   29458   30814   31682   32529   32976   33861   34903   35486   35811   36214
41 OR      65+  225692  233665  239877  246263  253039  261167  269035  278851  287891  297383  303336
42 PA      0-2  543252  543456  526470  496857  460372  445587  436681  439151  439790  447091  455755
42 PA      3-4  383819  369394  362079  359716  360954  347520  317434  297909  292345  289803  291703
42 PA     5-13 2022365 1976012 1924862 1870156 1820906 1779726 1742469 1692846 1632726 1575902 1540224
42 PA       14  231346  239635  238282  234028  227234  229783  221412  215797  213960  206414  196818
42 PA       15  228638  230280  238145  236829  232986  227728  229541  221470  216031  214759  209999
42 PA       16  222804  226433  227740  235681  234907  232775  226897  229109  221364  216592  215188
42 PA       17  219862  222677  224009  225047  232795  233577  230271  224271  226809  219458  213609
42 PA       18  212951  215274  217046  217634  218959  228205  227834  224594  218785  221536  216129
42 PA       19  192469  206542  210691  213812  216492  219521  228838  229386  226762  222353  225685
42 PA       20  182460  194493  204472  207412  212380  215580  217486  226309  225881  223963  221397
42 PA       21  173263  178448  190007  195748  199365  204425  207029  209018  216874  217674  218843
42 PA       22  179759  182082  182256  188900  193240  197004  200319  202391  203621  211798  213068
42 PA       23  181602  181238  184798  182178  187399  191998  194309  196856  198414  200310  204967
42 PA       24  137060  203639  190047  191576  187009  192207  195479  196935  198657  200523  201540
42 PA    25-29  706815  726065  789694  816002  857122  900284  945984  934576  937871  943584  945051
42 PA    30-34  609958  619245  635147  667647  686536  704594  711865  770207  792594  828615  847847
42 PA    35-44 1369188 1322178 1289012 1257507 1232396 1211595 1203875 1210537 1241513 1265872 1274072
42 PA    45-54 1516872 1516548 1509949 1498276 1478187 1461638 1434510 1400479 1365984 1328263 1296012
42 PA    55-59  659311  668689  672402  675176  679886  691211  698853  709565  713354  716901  712074
42 PA    60-61  240120  241674  239429  242786  246506  251776  252467  250036  251539  257058  263430
42 PA   62-64M  147451  152314  156910  157921  159527  160852  164217  167877  169091  169213  168239
42 PA   62-64F  172422  179636  185683  187233  188548  190129  193653  198319  200406  201821  201312
42 PA      65+ 1266979 1290450 1309106 1332407 1357182 1388382 1415959 1445957 1475028 1508476 1530933
44 RI      0-2   44894   44870   43571   40616   36729   33925   31948   31655   31905   32492   34881
44 RI      3-4   31457   30408   30087   29882   29936   28583   25860   23654   22109   21026   21811
44 RI     5-13  157352  156244  154447  150886  146047  141243  138616  135060  130150  123995  119852
44 RI       14   17503   18171   18422   18110   17661   17927   17457   17224   17084   16463   15783
44 RI       15   17413   17569   18346   18453   18046   17679   18165   17785   17553   17345   16810
44 RI       16   16355   17354   17525   18094   18043   17664   17457   17970   17540   17186   16878
44 RI       17   16250   17110   17914   17854   17884   17791   17582   17389   17854   17316   16836
44 RI       18   17697   17525   18547   19469   18245   18650   19010   18919   18798   19413   18747
44 RI       19   18296   18879   19179   20065   18984   18790   19831   20254   20185   20221   20502
44 RI       20   20032   19732   19707   19665   18290   18650   18950   19795   20034   19998   19617
44 RI       21   19593   18995   19043   19023   16957   17312   18200   18367   19057   19383   19114
44 RI       22   18548   18906   18364   17993   16283   15777   16481   17132   17109   17731   17896
44 RI       23   17447   17484   18213   17506   16014   15620   15540   16138   16703   16726   16918
44 RI       24   12580   18402   17550   18027   16385   15931   15868   15690   16193   16747   16686
44 RI    25-29   59523   61710   68246   70911   71560   74329   78482   77443   76894   76165   76215
44 RI    30-34   47466   49148   51455   54730   54292   55285   56458   61755   64216   67865   69820
44 RI    35-44  104096  101192   99499   97166   92201   89865   90410   92299   95762   98209   98863
44 RI    45-54  115556  117324  118658  117984  115227  112616  110573  107986  105200  101453   97804
44 RI    55-59   50445   51298   52030   52510   52649   53096   54158   55519   56021   56114   55748
44 RI    60-61   18526   18875   19190   19518   19512   19449   19378   19496   20076   20591   20736
44 RI   62-64M   10941   11598   12124   12339   12504   12590   12896   13029   13007   12922   12933
44 RI   62-64F   13917   14641   15231   15266   15277   15210   15458   15704   15769   15817   15782
44 RI      65+  103836  105671  107443  109671  111887  114806  117309  119968  122597  125203  126922
45 SC      0-2  140459  146085  148349  147752  143086  140460  137829  138715  140021  143312  145656
45 SC      3-4   95388   92713   93276   96465  100996  101600   97513   94595   93524   92239   92860
45 SC     5-13  495332  490138  486288  483711  481162  479020  476569  472744  468018  463735  464426
45 SC       14   56949   58657   58477   58670   59811   60286   59838   60271   60994   58028   55396
45 SC       15   57027   57226   59300   59373   59579   60664   60764   60498   61180   61712   59621
45 SC       16   55251   56905   57332   59598   59616   59684   60318   60533   60446   60858   61682
45 SC       17   55338   57250   58817   59376   62087   61889   61702   62522   62702   62366   62325
45 SC       18   56291   56788   58733   60538   62060   64352   64105   63721   64588   64755   65052
45 SC       19   57173   58673   59492   61247   64116   65441   68009   67673   67640   68673   68554
45 SC       20   54652   60805   59886   59907   62514   64136   64930   66873   66391   66110   67365
45 SC       21   49692   54772   59115   58387   59762   61438   63088   63662   65717   65411   64313
45 SC       22   49989   51048   53892   57390   57650   58035   59473   60821   61139   63106   62965
45 SC       23   47060   48446   49729   52354   56802   56504   56623   58087   59327   59512   60482
45 SC       24   36896   51286   48935   49848   53233   57265   56464   56372   57634   58507   58613
45 SC    25-29  175007  182038  199392  208807  222494  237052  255765  259222  265634  271214  273137
45 SC    30-34  145402  152656  160013  171391  181855  189963  194740  212697  223146  235145  243604
45 SC    35-44  286157  288368  291099  293992  299123  304464  311272  320106  332993  343423  350505
45 SC    45-54  277303  283615  288697  294759  298160  298794  297800  296810  298250  298735  299183
45 SC    55-59  114131  114841  116777  119246  124477  131856  137031  142718  148119  150363  149937
45 SC    60-61   42092   43778   43195   43716   44237   45161   45396   45635   46965   50126   55272
45 SC   62-64M   23526   24978   27283   28917   30000   30242   30714   31537   32013   32714   33071
45 SC   62-64F   29746   31606   34347   36143   37232   37467   37669   38755   39352   40342   40473
45 SC      65+  189852  199598  206773  215019  224695  236255  246043  257116  268572  279880  287328
46 SD      0-2   32144   32985   32941   32192   31206   31420   32129   33135   33636   34564   36349
46 SD      3-4   22154   21106   21186   21492   22037   21872   20853   20404   20807   21238   22097
46 SD     5-13  128107  123343  119695  115472  111168  107101  104530  101030   97395   94971   95779
46 SD       14   15189   15161   15029   14834   14995   14919   14627   14163   13482   12436   11492
46 SD       15   14804   14974   15174   14976   14776   14939   14952   14571   14049   13386   12616
46 SD       16   14514   14700   14935   15089   14910   14736   15009   14952   14531   14043   13522
46 SD       17   14263   14498   14684   14816   14921   14723   14608   14750   14621   14182   13751
46 SD       18   14066   13974   14244   14318   14427   14518   14405   14168   14289   14123   13843
46 SD       19   12482   13575   13840   14164   14359   14599   14936   14836   14757   14937   14909
46 SD       20   11826   12517   13283   13357   13709   13873   14190   14375   14264   14055   14559
46 SD       21   10693   11272   11982   12431   12532   12881   13214   13466   13689   13530   13548
46 SD       22   10305   11156   11361   11687   12028   12137   12573   12821   13061   13203   13370
46 SD       23    8990   10377   11120   11058   11253   11561   11719   12031   12228   12362   12503
46 SD       24    7120   10304   10759   11333   11158   11329   11705   11771   12044   12165   12573
46 SD    25-29   35457   36545   40153   42948   46597   50098   54397   55509   56257   56442   56868
46 SD    30-34   31731   31924   32757   34292   35144   35893   36494   39543   41937   44941   45959
46 SD    35-44   68877   67987   67728   66862   66042   65219   65367   65397   66306   66745   66432
46 SD    45-54   71533   71108   71207   70915   70561   69988   69716   68623   67387   66017   64968
46 SD    55-59   32443   32398   32604   32682   32881   33271   33633   34073   33994   33940   33567
46 SD    60-61   12390   12452   12394   12443   12375   12298   12469   12607   12611   12629   12782
46 SD   62-64M    8225    8409    8602    8663    8724    8667    8742    8713    8713    8699    8765
46 SD   62-64F    8670    8878    9258    9416    9508    9458    9491    9457    9404    9482    9497
46 SD      65+   80274   81652   82296   83275   84275   85540   86630   88085   89118   90244   91019
47 TN      0-2  192524  201568  204452  200351  191921  188541  186466  189250  192929  198520  199300
